,name,rating,review_count,type,how_old,hq,employees
5317,Orient Paper Mil...,3.5,(98 Reviews),Kolkata + 7 more,1k-5k Employees (India),84 years old,1k-5k Employees (India)
5318,Botree Software ...,4.1,(98 Reviews),Private,26 years old,"Chennai,Tamil Nadu + 10 more",26 years old
5319,Digital Nirvana ...,4.1,(98 Reviews),Private,27 years old,"Fremont,California",27 years old
5320,Al Naboodah,4.7,(98 Reviews),Dubai + 8 more,10k-50k Employees (Global),65 years old,10k-50k Employees (Global)
5321,Synophic Systems,3.6,(98 Reviews),Private,22 years old,"Cupertino,California + 21 more",22 years old
5322,Leena Powertech ...,3.5,(98 Reviews),Private,28 years old,Mumbai + 6 more,28 years old
5323,Cholamandalam MS...,4.0,(98 Reviews),JV,29 years old,Chennai + 20 more,29 years old
5324,Keppel Offshore ...,3.8,(98 Reviews),Private,21 years old,Mumbai + 11 more,21 years old
5325,Kitex Garments,3.7,(98 Reviews),Public,31 years old,"Kochi/Cochin,Kerala + 5 more",31 years old
5326,Amps Electrical ...,3.7,(98 Reviews),Private,24 years old,"Bangalore/Bengaluru,Karnataka + 12 more",24 years old
5327,Garden Reach Shi...,4.2,(98 Reviews),Kolkata + 3 more,1k-5k Employees (India),89 years old,1k-5k Employees (India)
5328,Texport Industri...,4.1,(98 Reviews),Private,45 years old,"Mumbai,Maharashtra + 8 more",45 years old
5329,Arundhati Jewell...,4.7,(98 Reviews),Private,23 years old,"Bhubaneswar,Odisha + 5 more",23 years old
5330,Virtusa Software...,3.7,(98 Reviews),Public,27 years old,Southborough + 7 more,27 years old
5331,Care IT Solution...,3.3,(98 Reviews),Private,20 years old,Chennai + 11 more,20 years old
5332,Kaefer,4.2,(98 Reviews),Private,105 years old,Bremen + 10 more,105 years old
5333,K R Mangalam Uni...,4.6,(98 Reviews),"Gurgaon,Haryana + 3 more",51-200 Employees (India),10 years old,51-200 Employees (India)
5334,Agastya Internat...,4.2,(98 Reviews),Bangalore + 23 more,1k-5k Employees (India),24 years old,1k-5k Employees (India)
5335,Pharmed,4.0,(98 Reviews),Public,77 years old,"Bangalore/Bengaluru,Karnataka + 26 more",77 years old
5336,KDK Software,4.2,(98 Reviews),Private,20 years old,"Jaipur,Rajasthan + 6 more",20 years old
5337,Pinnacle Industr...,3.8,(98 Reviews),Pithampur + 8 more,501-1k Employees (India),27 years old,501-1k Employees (India)
5338,Sadhu Forging,3.8,(98 Reviews),Private,47 years old,"Faridabad,Haryana + 4 more",47 years old
5339,Cholamandalam MS...,4.0,(98 Reviews),JV,29 years old,Chennai + 20 more,29 years old
5340,Eye-Q Super Spec...,3.5,(98 Reviews),Gurugram + 20 more,501-1k Employees (Global),16 years old,501-1k Employees (Global)
5341,Garden Reach Shi...,4.2,(98 Reviews),Kolkata + 3 more,1k-5k Employees (India),89 years old,1k-5k Employees (India)
5342,K R Mangalam Uni...,4.6,(98 Reviews),"Gurgaon,Haryana + 3 more",51-200 Employees (India),10 years old,51-200 Employees (India)
5343,AYTB,3.9,(98 Reviews),Private,44 years old,Al Jubail + 4 more,44 years old
5344,Keppel Offshore ...,3.8,(98 Reviews),Private,21 years old,Mumbai + 11 more,21 years old
5345,Kaefer,4.2,(98 Reviews),Private,105 years old,Bremen + 10 more,105 years old
5346,Drive India Ente...,4.6,(98 Reviews),Mumbai + 31 more,1k-5k Employees (Global),20 years old,1k-5k Employees (Global)
5347,Riddhi Corporate...,4.0,(98 Reviews),Public,13 years old,Ahmedabad + 23 more,13 years old
5348,Protean eGov Tec...,3.9,(98 Reviews),Mumbai + 6 more,,,
5349,VISTRA INTERNATI...,3.8,(98 Reviews),"Boston,Massachusetts + 3 more",501-1k Employees (India),31 years old,501-1k Employees (India)
5350,OSI Technologies,4.1,(98 Reviews),Private,30 years old,Woodland Hills + 7 more,30 years old
5351,Aditya Birla Sun...,4.2,(164 Reviews),Partnership,29 years old,Mumbai + 34 more,29 years old
5352,Mahindra Agri So...,4.1,(151 Reviews),Mumbai + 25 more,201-500 Employees (Global),23 years old,201-500 Employees (Global)
5353,Scholastic,4.0,(109 Reviews),Private,26 years old,"Gurgaon/Gurugram,Haryana + 25 more",26 years old
5354,GKN Sinter Metal...,4.1,(97 Reviews),Private,121 years old,Auburn Hills + 5 more,121 years old
5355,Genus Electrotec...,3.7,(97 Reviews),Private,24 years old,Gandhidham + 8 more,24 years old
5356,Emmvee Photovolt...,3.9,(97 Reviews),Private,16 years old,Bengaluru + 3 more,16 years old
5357,Electrical Manuf...,3.9,(97 Reviews),Private,70 years old,"Kolkata,West Bengal + 31 more",70 years old
5358,Pyrotech Electro...,3.9,(97 Reviews),Private,47 years old,"Udaipur,Rajasthan + 5 more",47 years old
5359,Sigma Freudenber...,4.3,(97 Reviews),Private,23 years old,"Milan,Ohio + 9 more",23 years old
5360,J.K. Helene Curt...,3.9,(97 Reviews),Private,59 years old,Mumbai + 28 more,59 years old
5361,DAS Offshore Eng...,4.2,(97 Reviews),Private,31 years old,"Navi Mumbai,Maharashtra + 3 more",31 years old
5362,Atidiv,3.4,(97 Reviews),Private,14 years old,"Pune,Maharashtra",14 years old
5363,Corbus,4.4,(97 Reviews),Private,29 years old,"West Carrollton,Ohio + 2 more",29 years old
5364,UAS Internationa...,4.5,(97 Reviews),New Delhi + 10 more,,1-10 Employees (India),
5365,Net Access India,3.6,(97 Reviews),Public,26 years old,"Chennai,Tamil Nadu + 13 more",26 years old
5366,Joyson Safety Sy...,3.9,(97 Reviews),Auburn Hills + 6 more,1k-5k Employees (India),26 years old,1k-5k Employees (India)
5367,Praxis home Reta...,4.2,(97 Reviews),Public,16 years old,Mumbai + 22 more,16 years old
5368,Zerodha,4.1,(97 Reviews),Public,13 years old,Bangalore + 15 more,13 years old
5369,Prudent Corporat...,4.2,(97 Reviews),Private,23 years old,"Ahmedabad,Gujarat + 33 more",23 years old
5370,Genus Electrotec...,3.7,(97 Reviews),Private,24 years old,Gandhidham + 8 more,24 years old
5371,House of Beauty,4.7,(97 Reviews),"Gurgaon/Gurugram,Haryana + 12 more",51-200 Employees (India),4 years old,51-200 Employees (India)
5372,Barbrik Project,3.9,(97 Reviews),Public,15 years old,Surajpur + 14 more,15 years old
5373,American Oncolog...,4.1,(97 Reviews),Private,11 years old,"Pittsburgh,Pennsylvania + 13 more",11 years old
5374,Citrix R&d India...,4.1,(97 Reviews),Fort Lauderdale + 1 more,5k-10k Employees (Global),34 years old,5k-10k Employees (Global)
5375,Gandhi Institute...,4.7,(97 Reviews),Bhubaneswar + 2 more,,51-200 Employees (India),
5376,Mayasheel Retail...,3.6,(97 Reviews),Public,8 years old,Gurgaon + 27 more,8 years old
5377,Nipro India Corp...,3.5,(97 Reviews),Private,13 years old,"Satara,Maharashtra + 9 more",13 years old
5378,Cummins Turbo Te...,4.1,(97 Reviews),Dewas + 4 more,,10k-50k Employees (India),
5379,VWR Internationa...,3.9,(97 Reviews),Private,171 years old,"Radnor,Pennsylvania",171 years old
5380,Haldiram Bhujiaw...,3.8,(97 Reviews),Private,65 years old,"Kolkata,West Bengal + 22 more",65 years old
5381,XenonStack,4.1,(97 Reviews),Private,11 years old,"SunnyVale,California",11 years old
5382,Infoesearch Ites,3.6,(97 Reviews),Hyderabad + 3 more,51-200 Employees (India),16 years old,51-200 Employees (India)
5383,Global Cloud Xch...,3.5,(97 Reviews),Private,35 years old,Hamilton + 5 more,35 years old
5384,Repro India,3.8,(97 Reviews),Public,39 years old,"Mumbai,Maharashtra + 9 more",39 years old
5385,West Bengal Stat...,3.5,(97 Reviews),Private,16 years old,Kolkata + 16 more,16 years old
5386,Sneha Farms,4.0,(97 Reviews),Private,41 years old,Hyderabad + 3 more,41 years old
5387,Damodar Valley C...,4.0,(97 Reviews),Kolkata + 11 more,5k-10k Employees (India),75 years old,5k-10k Employees (India)
5388,Holy Family Hosp...,4.1,(97 Reviews),Private,70 years old,"Delhi/NCR,Delhi + 10 more",70 years old
5389,Electrical Manuf...,3.9,(97 Reviews),Private,70 years old,"Kolkata,West Bengal + 31 more",70 years old
5390,Jamia Hamdard Un...,4.0,(97 Reviews),Public,34 years old,New Delhi,34 years old
5391,Emrill Services ...,4.4,(97 Reviews),Dubai + 2 more,5k-10k Employees (Global),21 years old,5k-10k Employees (Global)
5392,Cryptograph Tech...,4.4,(97 Reviews),Bengaluru + 10 more,51-200 Employees (India),13 years old,51-200 Employees (India)
5393,Ajax Fiori Engin...,3.7,(97 Reviews),Private,31 years old,Bengaluru + 23 more,31 years old
5394,Ammann Apollo,4.2,(97 Reviews),Private,26 years old,Mehsana + 13 more,26 years old
5395,Psychotropics In...,4.2,(97 Reviews),Public,36 years old,Faridabad + 4 more,36 years old
5396,Aczet,4.2,(97 Reviews),Private,37 years old,Dubai + 7 more,37 years old
5397,Jms Mining Servi...,4.0,(97 Reviews),Private,21 years old,Kolkata + 14 more,21 years old
5398,Hirschvogel Comp...,4.1,(97 Reviews),Private,85 years old,Denklingen,85 years old
5399,Emmvee Photovolt...,3.9,(97 Reviews),Private,16 years old,Bengaluru + 3 more,16 years old
5400,Sigma Freudenber...,4.3,(97 Reviews),Private,23 years old,"Milan,Ohio + 9 more",23 years old
5401,Gem Engserv,4.0,(97 Reviews),Private,14 years old,Navi Mumbai + 12 more,14 years old
5402,Betsol,3.8,(97 Reviews),Private,21 years old,"Broomfield,Colorado + 1 more",21 years old
5403,DAS Offshore Eng...,4.2,(97 Reviews),Private,31 years old,"Navi Mumbai,Maharashtra + 3 more",31 years old
5404,T.G.I. Friday's,3.9,(97 Reviews),Dallas + 12 more,10k-50k Employees (Global),58 years old,10k-50k Employees (Global)
5405,Joyson Safety Sy...,3.9,(97 Reviews),Auburn Hills + 6 more,1k-5k Employees (India),26 years old,1k-5k Employees (India)
5406,Praxis home Reta...,4.2,(97 Reviews),Public,16 years old,Mumbai + 22 more,16 years old
5407,Funlabtech,4.3,(97 Reviews),Gurgaon/Gurugram + 4 more,,201-500 Employees (Global),
5408,Sushima Pharmace...,4.3,(97 Reviews),Ghaziabad + 17 more,,51-200 Employees (India),
5409,ONKAR DIES,3.9,(102 Reviews),Private,25 years old,"Pune,Maharashtra + 2 more",25 years old
5410,Maharashtra Natu...,3.8,(96 Reviews),Private,17 years old,Pune + 6 more,17 years old
5411,SMS Group,4.3,(96 Reviews),Private,152 years old,Düsseldorf + 7 more,152 years old
5412,Dr ITM,3.4,(96 Reviews),Private,24 years old,Chandigarh + 9 more,24 years old
5413,LOTS Wholesale S...,3.7,(96 Reviews),Gurgaon + 2 more,501-1k Employees (India),6 years old,501-1k Employees (India)
5414,QR Crypher,4.6,(96 Reviews),JV,4 years old,"Tiruchirappalli,Tamil Nadu + 1 more",4 years old
5415,Shore Infotech I...,3.5,(96 Reviews),Private,16 years old,"New York,NY",16 years old
5416,Hy Gro Chemicals...,3.9,(96 Reviews),Private,53 years old,Secunderabad + 3 more,53 years old
5417,Nava Bharath Fer...,4.3,(96 Reviews),Private,8 years old,"Hyderabad/Secunderabad,Telangana + 27 more",8 years old
5418,Taco Bell,4.0,(96 Reviews),Irvine + 15 more,11-50 Employees (India),61 years old,11-50 Employees (India)
5419,DOGUS SOMA JV Of...,4.1,(96 Reviews),"Mumbai,Maharashtra + 2 more",,501-1k Employees (India),
5420,Montage Enterpri...,4.0,(96 Reviews),Private,21 years old,"Mumbai,Maharashtra + 8 more",21 years old
5421,Platinum Waltech,2.3,(96 Reviews),Private,26 years old,New Delhi + 25 more,26 years old
5422,SCIO Management ...,4.1,(96 Reviews),Private,14 years old,Florida + 1 more,14 years old
5423,Rabindranath Tag...,4.3,(96 Reviews),Public,23 years old,Kolkata + 3 more,23 years old
5424,Jotun Paints,4.0,(96 Reviews),Private,97 years old,Sandefjord + 16 more,97 years old
5425,GCMMF,4.0,(96 Reviews),Anand + 32 more,,77 years old,
5426,Mirafra Technolo...,4.1,(96 Reviews),Private,19 years old,"Bangalore/Bengaluru,Karnataka + 2 more",19 years old
5427,Metro Tyres,3.3,(96 Reviews),Public,55 years old,"Delhi/NCR,Delhi + 23 more",55 years old
5428,Batra Hospital,4.0,(96 Reviews),Private,36 years old,"Delhi/NCR,New Delhi + 2 more",36 years old
5429,NIMS University,3.2,(96 Reviews),Private,15 years old,"Jaipur,Rajasthan + 4 more",15 years old
5430,Tech Mahindra Fo...,3.8,(96 Reviews),New Delhi + 18 more,11-50 Employees (India),16 years old,11-50 Employees (India)
5431,Fortune Integrat...,4.0,(96 Reviews),Private,11 years old,Mumbai + 47 more,11 years old
5432,Divgi Torqtransf...,3.7,(96 Reviews),Private,28 years old,Pune + 1 more,28 years old
5433,Smc Pneumatics I...,3.9,(96 Reviews),Private,28 years old,"Noida,Uttar Pradesh + 14 more",28 years old
5434,Maxinfra,4.3,(96 Reviews),Private,48 years old,Hyderabad + 10 more,48 years old
5435,Chetak Enterpris...,3.6,(96 Reviews),Public,23 years old,"Mumbai,Maharashtra + 13 more",23 years old
5436,Windsor Machines,3.7,(96 Reviews),Public,60 years old,"Ahmedabad,Gujarat + 14 more",60 years old
5437,Malayala Manoram...,3.9,(96 Reviews),Private,135 years old,Kottayam + 16 more,135 years old
5438,Viztar Internati...,3.0,(96 Reviews),Private,16 years old,"Mumbai,Maharashtra + 11 more",16 years old
5439,Sapphire Softwar...,4.7,(96 Reviews),Private,23 years old,"Ahmedabad,Gujarat + 1 more",23 years old
5440,Hindustan PowerP...,4.0,(96 Reviews),Private,15 years old,Delhi + 8 more,15 years old
5441,Lam Research,4.4,(96 Reviews),Private,43 years old,"Fremont,California",43 years old
5442,Polaris,3.6,(96 Reviews),Private,12 years old,"Medina,Minnesota + 9 more",12 years old
5443,eSense Learning,3.8,(96 Reviews),"Mumbai,Maharashtra + 15 more",201-500 Employees (India),15 years old,201-500 Employees (India)
5444,Valmet,4.1,(96 Reviews),Private,85 years old,Espoo + 12 more,85 years old
5445,Shaadi.com,3.6,(96 Reviews),Private,27 years old,"Mumbai,Maharashtra + 21 more",27 years old
5446,TVS Upasana Engi...,3.7,(96 Reviews),Public,38 years old,"Chennai,Tamil Nadu + 1 more",38 years old
5447,TPF Engineering,4.3,(96 Reviews),Private,59 years old,"Navi Mumbai,Maharashtra + 18 more",59 years old
5448,Star Agriwarehou...,4.3,(96 Reviews),Public,17 years old,"Mumbai,Maharashtra + 32 more",17 years old
5449,Coronis It Syste...,4.0,(96 Reviews),Mohali + 3 more,,201-500 Employees (India),
5450,InternIn,4.6,(96 Reviews),Private,3 years old,"Aurangabad,Maharashtra + 14 more",3 years old
5451,Fragma Data Syst...,4.8,(96 Reviews),LLP,8 years old,"Bangalore/Bengaluru,Karnataka",8 years old
5452,DUKES,3.8,(96 Reviews),Hyderabad + 20 more,1k-5k Employees (India),39 years old,1k-5k Employees (India)
5453,Jasmin Infotech,4.2,(96 Reviews),Private,25 years old,"Chennai,Tamil Nadu",25 years old
5454,NEARBY TECHNOLOG...,4.0,(96 Reviews),Mumbai + 18 more,1k-5k Employees (India),7 years old,1k-5k Employees (India)
5455,Weavetex Oversea...,4.1,(96 Reviews),Private,54 years old,"Baghpat,Uttar Pradesh + 5 more",54 years old
5456,Mazars,3.3,(107 Reviews),LLP,16 years old,Paris + 7 more,16 years old
5457,Annalect,4.2,(95 Reviews),Private,13 years old,"New York,New York + 4 more",13 years old
5458,Sagitec Solution...,3.9,(95 Reviews),"Saint Paul,Minnesota + 1 more",51-200 Employees (India),19 years old,51-200 Employees (India)
5459,Paramatrix Techn...,4.3,(95 Reviews),Private,19 years old,"Mumbai,Maharashtra + 2 more",19 years old
5460,Advanced Technol...,4.1,(95 Reviews),Private,23 years old,Montvale + 6 more,23 years old
5461,Skillmine Techno...,4.3,(95 Reviews),Private,12 years old,"Bangalore/Bengaluru,Karnataka + 6 more",12 years old
5462,In2IT Technologi...,3.2,(95 Reviews),Private,33 years old,"Irving,Texas + 7 more",33 years old
5463,IndiaLends,3.8,(95 Reviews),Private,9 years old,"Delhi,NCT + 2 more",9 years old
5464,Creative Garment...,4.1,(95 Reviews),Private,49 years old,Mumbai + 8 more,49 years old
5465,Dream India Scho...,3.7,(95 Reviews),Private,10 years old,Hyderabad + 31 more,10 years old
5466,Lester Infoservi...,3.5,(95 Reviews),Private,42 years old,"East Haven,Connecticut + 1 more",42 years old
5467,Citrus Hotels,4.2,(95 Reviews),Private,15 years old,Mumbai + 21 more,15 years old
5468,Avaada Energy,4.6,(95 Reviews),Private,14 years old,"Mumbai,Maharashtra + 9 more",14 years old
5469,Object Frontier ...,3.8,(95 Reviews),Private,26 years old,"Chennai,Tamil Nadu",26 years old
5470,Haldiram Manufac...,4.1,(95 Reviews),Manesar + 11 more,1k-5k Employees (India),41 years old,1k-5k Employees (India)
5471,Umedica Laborato...,3.4,(95 Reviews),Private,41 years old,"Mumbai,Maharashtra + 4 more",41 years old
5472,Ketto,4.3,(95 Reviews),Private,11 years old,"Mumbai,Maharashtra + 2 more",11 years old
5473,Lycatel BPO,3.6,(95 Reviews),Private,17 years old,London + 2 more,17 years old
5474,Enercon,3.6,(95 Reviews),Private,39 years old,"Bremen,Bremen + 20 more",39 years old
5475,Ester Industries,4.0,(95 Reviews),Public,38 years old,Gurgaon + 5 more,38 years old
5476,The Cosmos Co-op...,4.4,(95 Reviews),Private,117 years old,"Pune,Maharashtra + 19 more",117 years old
5477,Eagle Infra,4.1,(95 Reviews),Ulhasnagar + 18 more,1k-5k Employees (India),42 years old,1k-5k Employees (India)
5478,Barco Electronic...,4.4,(95 Reviews),Private,89 years old,"Duluth,Georgia + 3 more",89 years old
5479,SequelOne,4.0,(95 Reviews),Private,9 years old,"Gurgaon/Gurugram,Haryana + 15 more",9 years old
5480,Rahman Industrie...,4.3,(95 Reviews),Public,34 years old,"Kanpur,Uttar Pradesh + 4 more",34 years old
5481,Tata CLiQ,4.2,(95 Reviews),Private,7 years old,"Mumbai,Maharashtra + 3 more",7 years old
5482,SIAC SKH India C...,3.9,(95 Reviews),Palwal + 5 more,1-10 Employees (India),13 years old,1-10 Employees (India)
5483,Pradan,4.2,(95 Reviews),Private,40 years old,New Delhi + 23 more,40 years old
5484,Sigma Supply Cha...,3.8,(95 Reviews),Private,16 years old,Noida + 21 more,16 years old
5485,Vamani Overseas,3.6,(95 Reviews),Private,21 years old,"Faridabad,Haryana + 1 more",21 years old
5486,Learning Links F...,4.4,(95 Reviews),Public,21 years old,"Delhi/NCR,Delhi + 23 more",21 years old
5487,Turner Construct...,4.1,(95 Reviews),Private,121 years old,"New York,New York State + 13 more",121 years old
5488,Automotive Stamp...,3.9,(95 Reviews),Public,33 years old,Pune + 6 more,33 years old
5489,BookMyShow,3.9,(95 Reviews),Private,24 years old,"Mumbai,Maharashtra + 12 more",24 years old
5490,99acres,4.0,(95 Reviews),Public,18 years old,Noida + 15 more,18 years old
5491,Plintron Global ...,3.6,(95 Reviews),Private,15 years old,Singapore + 1 more,15 years old
5492,Gunnebo,4.1,(95 Reviews),Private,91 years old,"Gothenburg,Vastra Gotaland + 10 more",91 years old
5493,Head Field Solut...,3.7,(95 Reviews),Private,16 years old,New Delhi + 2 more,16 years old
5494,Peerless Hospita...,4.1,(95 Reviews),Private,91 years old,"Kolkata,West Bengal + 4 more",91 years old
5495,Covestro,4.3,(95 Reviews),Leverkusen + 6 more,201-500 Employees (India),8 years old,201-500 Employees (India)
5496,Amnet Systems,4.3,(95 Reviews),Private,23 years old,"Chennai,Tamil Nadu + 1 more",23 years old
5497,Dunkin' Donuts,4.2,(95 Reviews),Canton + 17 more,1k-5k Employees (Global),73 years old,1k-5k Employees (Global)
5498,ToXSL Technologi...,3.9,(95 Reviews),Private,11 years old,"Mohali,Punjab + 19 more",11 years old
5499,Tata Strive Skil...,3.9,(95 Reviews),Mumbai + 24 more,501-1k Employees (India),8 years old,501-1k Employees (India)
5500,Ambit Finvest,3.9,(95 Reviews),Mumbai + 29 more,,51-200 Employees (India),
5501,Board Infinity,3.6,(95 Reviews),Private,6 years old,"Mumbai,Maharashtra + 5 more",6 years old
5502,Institute of Che...,4.0,(95 Reviews),Private,90 years old,Mumbai + 19 more,90 years old
5503,Tata Boeing Aero...,3.9,(95 Reviews),Private,8 years old,Chicago + 2 more,8 years old
5504,EPIQ Systems,4.0,(95 Reviews),Private,35 years old,New York + 2 more,35 years old
5505,Qualsquad Infote...,3.3,(95 Reviews),Private,8 years old,Kolkata + 1 more,8 years old
5506,Informatica Busi...,4.3,(95 Reviews),Private,30 years old,Redwood City + 2 more,30 years old
5507,Infineon Technol...,4.1,(95 Reviews),Private,24 years old,"Neubiberg,Bavaria + 5 more",24 years old
5508,Walkaroo Interna...,4.1,(95 Reviews),Coimbatore + 17 more,,5k-10k Employees (India),
5509,Sun Technologies...,3.9,(95 Reviews),Private,28 years old,Atlanta + 5 more,28 years old
5510,TheMathCompany,3.6,(95 Reviews),Private,7 years old,"Bangalore,Karnataka + 2 more",7 years old
5511,Archies,3.7,(95 Reviews),Public,44 years old,"Gurgaon/Gurugram,Haryana + 20 more",44 years old
5512,INDIA TODAY GROU...,3.9,(266 Reviews),Private,48 years old,Noida + 9 more,48 years old
5513,GMM Pfaudler,3.9,(94 Reviews),Public,61 years old,Mumbai + 7 more,61 years old
5514,Bonanza Portfoli...,3.9,(94 Reviews),Private,29 years old,New Delhi + 28 more,29 years old
5515,SasMos HET Techn...,3.6,(94 Reviews),Public,16 years old,Bengaluru + 2 more,16 years old
5516,Shemaroo Enterta...,3.6,(94 Reviews),Public,61 years old,"Mumbai,Maharashtra + 5 more",61 years old
5517,Parsvnath Develo...,3.2,(94 Reviews),Public,33 years old,"Delhi/NCR,Delhi + 8 more",33 years old
5518,IIT Delhi,3.9,(94 Reviews),New Delhi + 3 more,1k-5k Employees (Global),62 years old,1k-5k Employees (Global)
5519,Vision Rx Lab,4.1,(94 Reviews),Kolkata + 18 more,501-1k Employees (India),64 years old,501-1k Employees (India)
5520,Arabian Bemco Co...,4.5,(94 Reviews),Jeddah + 8 more,51-200 Employees (India),55 years old,51-200 Employees (India)
5521,Deep Industries,2.9,(94 Reviews),Public,32 years old,"Ahmedabad,Gujarat + 9 more",32 years old
5522,Flowmore,4.2,(94 Reviews),Private,77 years old,"Gurgaon/Gurugram,Haryana + 8 more",77 years old
5523,Hospet Steels,4.1,(94 Reviews),Private,34 years old,"Koppal,Karnataka + 4 more",34 years old
5524,Desai Constructi...,4.1,(94 Reviews),Private,48 years old,"Mumbai,Maharashtra + 14 more",48 years old
5525,Cotecna Inspecti...,3.7,(94 Reviews),Private,49 years old,"Geneva,Geneva + 20 more",49 years old
5526,India Infoline H...,3.2,(94 Reviews),Public,14 years old,Gurgaon + 37 more,14 years old
5527,Aster Cmi Hospit...,4.2,(94 Reviews),Public,36 years old,"Bangalore/Bengaluru,Karnataka + 2 more",36 years old
5528,Clearpack,3.8,(94 Reviews),Private,32 years old,Singapore + 6 more,32 years old
5529,Avvashya Cci Log...,4.0,(94 Reviews),Mumbai + 18 more,1k-5k Employees (India),8 years old,1k-5k Employees (India)
5530,TMTL,3.9,(94 Reviews),Chennai + 15 more,10k-50k Employees (India),18 years old,10k-50k Employees (India)
5531,Coslight India T...,3.9,(94 Reviews),Private,16 years old,"Gurgaon/Gurugram,Haryana + 23 more",16 years old
5532,Rossari Biotech,4.0,(94 Reviews),Private,26 years old,"Mumbai,Maharashtra + 9 more",26 years old
5533,Packt Publishing,3.9,(94 Reviews),Private,19 years old,"Colmore Business District,Birmingham + 2 more",19 years old
5534,Kama Ayurveda,4.0,(94 Reviews),Private,21 years old,Noida + 18 more,21 years old
5535,TEOCO Software,4.1,(94 Reviews),Private,29 years old,"Fairfax,Virginia + 5 more",29 years old
5536,Sendan Internati...,3.9,(94 Reviews),Private,29 years old,Al Jubail + 4 more,29 years old
5537,Texila Education...,4.0,(94 Reviews),Private,8 years old,Coimbatore + 1 more,8 years old
5538,Indian Acrylics,3.8,(94 Reviews),Public,30 years old,Chandigarh + 5 more,30 years old
5539,Lakshmi Life Sci...,3.3,(94 Reviews),Public,19 years old,Coimbatore + 3 more,19 years old
5540,Global Opportuni...,4.3,(94 Reviews),Private,22 years old,"Delhi/NCR,Delhi + 11 more",22 years old
5541,Viveks,4.4,(94 Reviews),Private,58 years old,"Chennai,Tamil Nadu + 6 more",58 years old
5542,Tata Autocomp GY...,3.9,(94 Reviews),Private,18 years old,Pune + 18 more,18 years old
5543,Bygging India,4.2,(94 Reviews),Public,40 years old,Mumbai + 13 more,40 years old
5544,Camp K-12,3.1,(94 Reviews),Private,13 years old,"Gurgaon,Haryana + 3 more",13 years old
5545,Intercraft Tradi...,4.4,(94 Reviews),"Mumbai,Maharashtra + 18 more",201-500 Employees (India),29 years old,201-500 Employees (India)
5546,VIS Networks,4.3,(94 Reviews),Private,12 years old,"Bangalore/Bengaluru,Karnataka + 11 more",12 years old
5547,SBL,3.4,(94 Reviews),Private,18 years old,"Bengaluru/Bangalore,Karnataka + 11 more",18 years old
5548,Hyperquality,2.9,(94 Reviews),Private,20 years old,Seattle + 5 more,20 years old
5549,eMDs,3.6,(94 Reviews),Private,27 years old,Austin + 3 more,27 years old
5550,Deloitte Support...,4.2,(94 Reviews),Hyderabad/Secunderabad + 8 more,,201-500 Employees (India),
5551,Chennais Amirta ...,3.6,(94 Reviews),Private,13 years old,"Chennai,Tamil Nadu + 11 more",13 years old
5552,Mfine,3.9,(94 Reviews),Private,6 years old,"Bangalore,Karnataka + 5 more",6 years old
5553,Uniqlo,3.2,(94 Reviews),Tokyo + 2 more,,51-200 Employees (India),
5554,Xylem Resource M...,3.8,(94 Reviews),Private,16 years old,Bengaluru + 34 more,16 years old
5555,LetsTransport,3.3,(94 Reviews),"Bangalore,Karnataka + 15 more",201-500 Employees (India),8 years old,201-500 Employees (India)
5556,WovVTech,4.8,(94 Reviews),Private,7 years old,"Mumbai,Maharashtra + 2 more",7 years old
5557,Bridgei2i Analyt...,3.9,(94 Reviews),Private,12 years old,"Bangalore,Karnataka + 2 more",12 years old
5558,Nv Group,3.6,(94 Reviews),Private,29 years old,New Delhi + 11 more,29 years old
5559,Sakura Autoparts,3.9,(94 Reviews),Private,11 years old,Kancheepuram + 2 more,11 years old
5560,Sony Pictures Ne...,4.0,(94 Reviews),Mumbai + 12 more,1k-5k Employees (India),28 years old,1k-5k Employees (India)
5561,Koenig Solutions,3.5,(94 Reviews),Private,30 years old,"Delhi/NCR,Delhi + 6 more",30 years old
5562,Smart Works,3.7,(94 Reviews),Private,7 years old,"Delhi,NCT + 11 more",7 years old
5563,Jindal Group Of ...,4.0,(2.1k Reviews),Private,71 years old,New Delhi + 18 more,71 years old
5564,Stedman Pharmace...,4.0,(95 Reviews),Private,32 years old,"Chennai,Tamil Nadu + 17 more",32 years old
5565,The MobileStore,4.3,(93 Reviews),Public,17 years old,"Mumbai,Maharashtra + 22 more",17 years old
5566,Aligarh Muslim U...,4.7,(93 Reviews),Private,146 years old,Aligarh + 6 more,146 years old
5567,Multiplier Brand...,4.0,(93 Reviews),Private,7 years old,"Hyderabad/Secunderabad,Telangana + 20 more",7 years old
5568,Frost & Sullivan,3.8,(93 Reviews),Private,62 years old,"Santa Clara,California + 5 more",62 years old
5569,i-Source Infosys...,3.8,(93 Reviews),Private,20 years old,"Pune,Maharashtra + 13 more",20 years old
5570,Inteva Products,3.7,(93 Reviews),Private,15 years old,"Troy,Michigan + 1 more",15 years old
5571,Sphinx Worldbiz,3.5,(93 Reviews),Private,27 years old,Frankfurt Am Main + 5 more,27 years old
5572,SAGE Publication...,4.1,(93 Reviews),Private,58 years old,Thousand Oaks + 2 more,58 years old
5573,Inspiredge IT So...,4.2,(93 Reviews),Private,11 years old,Visakhapatnam + 1 more,11 years old
